farm_id,region,crop_type,soil_moisture_percent,soil_pH,temperature_C,rainfall_mm,humidity_percent,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,inference
FARM0001,North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,None,Organic,6.34,2024-01-08,2024-05-09,122,4408.07,SENS0001,2024-03-19,14.970941,82.997689,0.63,Mild,Moderate Yield Potential | Recommend Irrigation | Moderate - Monitor Regularly
FARM0002,South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,2024-02-04,2024-05-26,112,5389.98,SENS0002,2024-04-21,16.613022,70.869009,0.58,None,High Yield Potential | Low Soil Moisture - Water Needed | Moderate - Monitor Regularly
FARM0003,South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,2024-02-03,2024-06-26,144,2931.16,SENS0003,2024-02-28,19.503156,79.068206,0.8,Mild,Low Yield Potential | No Immediate Action | Healthy - No Action Needed
FARM0004,Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,2024-02-21,2024-07-04,134,4227.8,SENS0004,2024-05-14,31.071298,85.519998,0.44,None,Moderate Yield Potential | Low Soil Moisture - Water Needed | Critical - Needs Immediate Action
FARM0005,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,None,Mixed,25.65,2024-02-05,2024-05-20,105,4979.96,SENS0005,2024-04-13,16.56854,81.69172,0.84,Severe,Moderate Yield Potential | Recommend Irrigation | Critical - Needs Immediate Action
FARM0006,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,2024-01-13,2024-05-06,114,4383.55,SENS0006,2024-03-12,23.227859,89.421568,0.82,None,Moderate Yield Potential | No Immediate Action | Uncertain
FARM0007,North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,2024-03-04,2024-07-27,145,4501.2,SENS0007,2024-07-11,25.224255,73.056785,0.76,None,Moderate Yield Potential | No Immediate Action | Uncertain
FARM0008,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,2024-01-24,2024-05-24,121,5264.09,SENS0008,2024-04-30,23.317654,72.51521,0.7,Mild,High Yield Potential | No Immediate Action | Healthy - No Action Needed
FARM0009,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,2024-03-12,2024-07-08,118,5598.46,SENS0009,2024-05-08,13.025105,74.493947,0.5,Mild,High Yield Potential | No Immediate Action | Moderate - Monitor Regularly
FARM0010,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,2024-01-18,2024-04-25,98,4893.41,SENS0010,2024-03-31,24.405291,74.859945,0.58,Severe,Moderate Yield Potential | Low Soil Moisture - Water Needed | Critical - Needs Immediate Action
FARM0011,South India,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,Drip,Organic,23.12,2024-02-26,2024-07-20,145,2437.08,SENS0011,2024-04-15,14.755223,78.972271,0.55,Moderate,Low Yield Potential | Low Soil Moisture - Water Needed | Moderate - Monitor Regularly
FARM0012,South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,2024-01-06,2024-05-01,116,3942.56,SENS0012,2024-02-02,31.61626,88.048857,0.4,None,Moderate Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0013,South USA,Maize,42.43,7.07,20.7,224.15,76.53,8.7,None,Organic,13.55,2024-01-02,2024-05-08,127,4942.95,SENS0013,2024-01-17,28.699389,71.143305,0.65,Mild,Moderate Yield Potential | Recommend Irrigation | Moderate - Monitor Regularly
FARM0014,North India,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,Sprinkler,Mixed,31.75,2024-03-03,2024-06-27,116,4629.49,SENS0014,2024-05-14,23.069568,88.694125,0.42,Moderate,Moderate Yield Potential | Low Soil Moisture - Water Needed | Critical - Needs Immediate Action
FARM0015,South India,Maize,23.85,6.84,21.0,129.04,77.59,4.44,None,Mixed,49.93,2024-01-03,2024-05-06,124,2852.62,SENS0015,2024-02-05,13.311414,76.980177,0.34,Mild,Low Yield Potential | Recommend Irrigation | Critical - Needs Immediate Action
FARM0016,Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,2024-02-22,2024-05-28,96,5755.72,SENS0016,2024-03-10,16.611648,87.794254,0.75,Mild,High Yield Potential | Low Soil Moisture - Water Needed | Healthy - No Action Needed
FARM0017,Central USA,Maize,31.17,6.94,19.07,208.56,53.2,6.93,Drip,Organic,33.54,2024-02-02,2024-05-02,90,3334.23,SENS0017,2024-02-18,25.927834,75.239105,0.74,Severe,Low Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0018,East Africa,Wheat,13.92,7.39,28.82,87.26,41.8,6.22,Sprinkler,Inorganic,10.74,2024-02-12,2024-07-08,147,5732.35,SENS0018,2024-02-22,32.473116,74.201531,0.45,None,High Yield Potential | Low Soil Moisture - Water Needed | Critical - Needs Immediate Action
FARM0019,Central USA,Soybean,40.94,6.31,27.41,88.64,86.49,9.19,Sprinkler,Inorganic,6.12,2024-03-11,2024-07-29,140,5723.26,SENS0019,2024-05-13,16.670143,85.74749,0.36,None,High Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0020,South USA,Rice,16.99,7.34,21.99,255.13,83.57,5.34,Sprinkler,Inorganic,19.77,2024-01-25,2024-05-11,107,3404.58,SENS0020,2024-03-30,19.99196,89.622994,0.62,None,Low Yield Potential | Low Soil Moisture - Water Needed | Moderate - Monitor Regularly
FARM0021,North India,Maize,16.25,7.43,20.31,77.1,61.73,8.37,Manual,Inorganic,32.28,2024-03-04,2024-06-26,114,5598.02,SENS0021,2024-03-28,16.368063,84.175706,0.3,Mild,High Yield Potential | Low Soil Moisture - Water Needed | Critical - Needs Immediate Action
FARM0022,Central USA,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,Manual,Mixed,18.92,2024-02-11,2024-06-05,115,4788.83,SENS0022,2024-04-21,13.182195,78.408927,0.86,Mild,Moderate Yield Potential | Low Soil Moisture - Water Needed | Healthy - No Action Needed
FARM0023,East Africa,Soybean,20.53,6.6,15.01,121.73,61.49,7.48,Manual,Inorganic,24.88,2024-03-07,2024-07-07,122,3892.74,SENS0023,2024-06-30,33.9958,84.719229,0.7,Moderate,Moderate Yield Potential | No Immediate Action | Uncertain
FARM0024,East Africa,Soybean,21.73,7.14,30.02,218.2,51.23,5.19,Drip,Organic,16.02,2024-02-20,2024-07-13,144,5073.96,SENS0024,2024-06-15,20.361025,82.595308,0.42,Severe,High Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0025,South USA,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,None,Organic,12.91,2024-03-17,2024-07-14,119,2200.87,SENS0025,2024-04-17,32.93675,72.427172,0.38,Severe,Low Yield Potential | Recommend Irrigation | Critical - Needs Immediate Action
FARM0026,East Africa,Soybean,30.84,7.4,32.83,203.16,75.96,7.03,None,Organic,38.46,2024-02-15,2024-05-31,106,5007.11,SENS0026,2024-05-06,16.932784,85.553497,0.59,Mild,High Yield Potential | Recommend Irrigation | Moderate - Monitor Regularly
FARM0027,Central USA,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,Sprinkler,Inorganic,36.23,2024-03-07,2024-06-09,94,3659.47,SENS0027,2024-04-18,23.565279,78.315485,0.42,Severe,Moderate Yield Potential | Low Soil Moisture - Water Needed | Critical - Needs Immediate Action
FARM0028,South USA,Soybean,43.11,5.54,32.61,193.92,63.85,9.66,Manual,Inorganic,43.41,2024-02-18,2024-07-04,137,4938.54,SENS0028,2024-04-14,22.205737,75.458706,0.59,Severe,Moderate Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0029,Central USA,Cotton,35.35,7.18,33.39,295.18,66.71,9.44,Drip,Organic,33.92,2024-01-28,2024-05-26,119,2726.92,SENS0029,2024-03-01,19.477597,74.233206,0.5,Severe,Low Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0030,Central USA,Cotton,18.83,5.66,15.39,184.85,90.0,6.1,Drip,Mixed,6.81,2024-01-08,2024-04-19,102,5356.92,SENS0030,2024-03-27,13.809559,72.524419,0.7,Mild,High Yield Potential | Low Soil Moisture - Water Needed | Healthy - No Action Needed
FARM0031,South USA,Maize,36.84,5.84,27.14,236.98,45.73,8.92,Manual,Organic,31.04,2024-02-19,2024-07-01,133,5632.1,SENS0031,2024-05-25,19.916361,84.300294,0.35,Mild,High Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0032,North India,Maize,39.76,6.7,17.42,295.96,79.13,6.08,None,Mixed,21.68,2024-03-21,2024-07-10,111,2050.61,SENS0032,2024-05-13,30.558273,72.110777,0.88,Severe,Low Yield Potential | Recommend Irrigation | Critical - Needs Immediate Action
FARM0033,South India,Cotton,16.16,6.54,28.01,203.98,85.98,8.65,None,Inorganic,42.16,2024-03-09,2024-06-27,110,5406.85,SENS0033,2024-06-23,33.365547,75.578565,0.57,Severe,High Yield Potential | Recommend Irrigation | Critical - Needs Immediate Action
FARM0034,East Africa,Soybean,33.39,6.17,24.89,131.25,64.38,6.13,Manual,Inorganic,17.58,2024-03-23,2024-08-16,146,3105.07,SENS0034,2024-03-25,22.915681,73.821128,0.44,Severe,Low Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0035,South USA,Soybean,36.54,6.88,27.92,172.71,79.65,4.56,Sprinkler,Inorganic,36.13,2024-02-22,2024-06-28,127,3476.08,SENS0035,2024-05-20,20.637595,84.918709,0.5,Severe,Low Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0036,Central USA,Maize,18.8,5.74,18.85,79.89,66.79,8.57,Sprinkler,Organic,14.74,2024-02-09,2024-06-24,136,4358.35,SENS0036,2024-06-22,24.919769,89.610213,0.8,Moderate,Moderate Yield Potential | Low Soil Moisture - Water Needed | Uncertain
FARM0037,South India,Maize,16.28,5.53,25.68,118.58,88.71,7.32,Sprinkler,Mixed,44.08,2024-02-04,2024-06-28,145,2049.06,SENS0037,2024-04-16,21.734924,78.809376,0.41,None,Low Yield Potential | Low Soil Moisture - Water Needed | Critical - Needs Immediate Action
FARM0038,Central USA,Cotton,13.99,5.63,24.83,194.26,74.32,4.91,Manual,Organic,49.73,2024-01-18,2024-06-04,138,3664.7,SENS0038,2024-03-15,29.392338,77.607561,0.85,Moderate,Moderate Yield Potential | Low Soil Moisture - Water Needed | Uncertain
FARM0039,East Africa,Cotton,20.69,6.74,27.19,235.02,87.38,5.25,Sprinkler,Inorganic,34.72,2024-01-08,2024-04-18,101,4207.97,SENS0039,2024-01-28,10.066893,79.010074,0.66,Moderate,Moderate Yield Potential | No Immediate Action | Moderate - Monitor Regularly
FARM0040,North India,Rice,20.08,6.07,32.19,67.79,51.67,5.59,Sprinkler,Inorganic,10.16,2024-01-21,2024-04-29,99,5633.65,SENS0040,2024-02-08,11.785246,73.318456,0.48,Moderate,High Yield Potential | No Immediate Action | Critical - Needs Immediate Action
FARM0041,South USA,Wheat,26.4,6.11,23.05,118.06,67.0,6.63,Drip,Inorganic,38.05,2024-03-09,2024-06-08,91,2365.31,SENS0041,2024-06-03,30.898965,81.503982,0.87,Moderate,Low Yield Potential | No Immediate Action | Uncertain
